profile,slurm_id1,run_id,itnum,ncpu,ngpu,function,time_ms
profile,12110290,12110308,4,28,0,find_qtl,30806.755
profile,12110290,12110308,4,28,0,constructX,23095.868
profile,12110290,12110308,4,28,0,calc_extBIC,1923.652
profile,12110290,12110308,4,28,0,calcVC,1115.268
profile,12110290,12110308,3,28,0,find_qtl,30502.375
profile,12110290,12110308,3,28,0,constructX,23390.28
profile,12110290,12110308,3,28,0,calc_extBIC,1910.973
profile,12110290,12110308,3,28,0,calcVC,1352.943
profile,12110290,12110308,2,28,0,find_qtl,28272.279
profile,12110290,12110308,2,28,0,constructX,15770.033
profile,12110290,12110308,2,28,0,calc_extBIC,1965.792
profile,12110290,12110308,2,28,0,calcVC,1173.382
profile,12110290,12110308,1,28,0,invMMt,193.272
profile,12110290,12110308,1,28,0,find_qtl,28155.71
profile,12110290,12110308,1,28,0,constructX,0.139
profile,12110290,12110308,1,28,0,calc_extBIC,2000.235
profile,12110290,12110308,1,28,0,calcVC,1472.947
profile,12110290,12110308,1,28,0,MMt,26307.428
profile,12110290,12110307,4,21,0,find_qtl,31708.048
profile,12110290,12110307,4,21,0,constructX,20008.851
profile,12110290,12110307,4,21,0,calc_extBIC,1982.636
profile,12110290,12110307,4,21,0,calcVC,1141.108
profile,12110290,12110307,3,21,0,find_qtl,30887.34
profile,12110290,12110307,3,21,0,constructX,20262.502
profile,12110290,12110307,3,21,0,calc_extBIC,1849.137
profile,12110290,12110307,3,21,0,calcVC,1289.63
profile,12110290,12110307,2,21,0,find_qtl,31885.059
profile,12110290,12110307,2,21,0,constructX,19849.787
profile,12110290,12110307,2,21,0,calc_extBIC,2047.044
profile,12110290,12110307,2,21,0,calcVC,1194.312
profile,12110290,12110307,1,21,0,invMMt,206.452
profile,12110290,12110307,1,21,0,find_qtl,31266.301
profile,12110290,12110307,1,21,0,constructX,0.137
profile,12110290,12110307,1,21,0,calc_extBIC,1962.702
profile,12110290,12110307,1,21,0,calcVC,1462.12
profile,12110290,12110307,1,21,0,MMt,34881.737
profile,12110290,12110306,4,14,0,find_qtl,34189.51
profile,12110290,12110306,4,14,0,constructX,21956.44
profile,12110290,12110306,4,14,0,calc_extBIC,1856.988
profile,12110290,12110306,4,14,0,calcVC,1027.237
profile,12110290,12110306,3,14,0,find_qtl,34279.633
profile,12110290,12110306,3,14,0,constructX,21921.252
profile,12110290,12110306,3,14,0,calc_extBIC,1769.408
profile,12110290,12110306,3,14,0,calcVC,1074.513
profile,12110290,12110306,2,14,0,find_qtl,33945.471
profile,12110290,12110306,2,14,0,constructX,22789.289
profile,12110290,12110306,2,14,0,calc_extBIC,1973.545
profile,12110290,12110306,2,14,0,calcVC,1125.003
profile,12110290,12110306,1,14,0,invMMt,160.578
profile,12110290,12110306,1,14,0,find_qtl,30926.541
profile,12110290,12110306,1,14,0,constructX,0.14
profile,12110290,12110306,1,14,0,calc_extBIC,1950.627
profile,12110290,12110306,1,14,0,calcVC,1497.922
profile,12110290,12110306,1,14,0,MMt,27156.781
profile,12110290,12110305,4,12,0,find_qtl,31756.307
profile,12110290,12110305,4,12,0,constructX,17933.455
profile,12110290,12110305,4,12,0,calc_extBIC,1879.664
profile,12110290,12110305,4,12,0,calcVC,1131.31
profile,12110290,12110305,3,12,0,find_qtl,31923.474
profile,12110290,12110305,3,12,0,constructX,17397.925
profile,12110290,12110305,3,12,0,calc_extBIC,1865.929
profile,12110290,12110305,3,12,0,calcVC,1121.862
profile,12110290,12110305,2,12,0,find_qtl,31748.716
profile,12110290,12110305,2,12,0,constructX,18978.328
profile,12110290,12110305,2,12,0,calc_extBIC,1919.018
profile,12110290,12110305,2,12,0,calcVC,1162.603
profile,12110290,12110305,1,12,0,invMMt,166.591
profile,12110290,12110305,1,12,0,find_qtl,29846.424
profile,12110290,12110305,1,12,0,constructX,0.136
profile,12110290,12110305,1,12,0,calc_extBIC,1878.84
profile,12110290,12110305,1,12,0,calcVC,1389.298
profile,12110290,12110305,1,12,0,MMt,26439.069
profile,12110290,12110304,4,10,0,find_qtl,34416.702
profile,12110290,12110304,4,10,0,constructX,31804.721
profile,12110290,12110304,4,10,0,calc_extBIC,2050.952
profile,12110290,12110304,4,10,0,calcVC,1191.135
profile,12110290,12110304,3,10,0,find_qtl,39346.537
profile,12110290,12110304,3,10,0,constructX,26711.175
profile,12110290,12110304,3,10,0,calc_extBIC,1897.482
profile,12110290,12110304,3,10,0,calcVC,1217.898
profile,12110290,12110304,2,10,0,find_qtl,37092.515
profile,12110290,12110304,2,10,0,constructX,30292.502
profile,12110290,12110304,2,10,0,calc_extBIC,2021.355
profile,12110290,12110304,2,10,0,calcVC,1207.346
profile,12110290,12110304,1,10,0,invMMt,176.837
profile,12110290,12110304,1,10,0,find_qtl,37453.667
profile,12110290,12110304,1,10,0,constructX,0.134
profile,12110290,12110304,1,10,0,calc_extBIC,2023.953
profile,12110290,12110304,1,10,0,calcVC,1494.258
profile,12110290,12110304,1,10,0,MMt,41473.633
profile,12110290,12110303,4,8,0,find_qtl,40039.962
profile,12110290,12110303,4,8,0,constructX,22988.393
profile,12110290,12110303,4,8,0,calc_extBIC,1912.617
profile,12110290,12110303,4,8,0,calcVC,1085.311
profile,12110290,12110303,3,8,0,find_qtl,42285.392
profile,12110290,12110303,3,8,0,constructX,24274.421
profile,12110290,12110303,3,8,0,calc_extBIC,1902.282
profile,12110290,12110303,3,8,0,calcVC,1123.326
profile,12110290,12110303,2,8,0,find_qtl,42520.817
