profile,slurm_id1,run_id,itnum,ncpu,ngpu,function,time_ms
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,4,14,4,find_qtl,62041.261
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,4,14,4,constructX,23608.881
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,4,14,4,calc_extBIC,1888.97
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,4,14,4,calcVC,1100.492
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,3,14,4,find_qtl,61851.798
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,3,14,4,constructX,23337.759
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,3,14,4,calc_extBIC,1852.089
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,3,14,4,calcVC,1136.445
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,2,14,4,find_qtl,62395.146
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,2,14,4,constructX,23311.053
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,2,14,4,calc_extBIC,1949.686
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,2,14,4,calcVC,1251.408
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,1,14,4,invMMt,183.722
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,1,14,4,find_qtl,62639.711
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,1,14,4,constructX,0.077
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,1,14,4,calc_extBIC,1918.464
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,1,14,4,calcVC,1529.798
profile,eagle_REPEAT_cs_CRAN_12335730,12335741,1,14,4,MMt,53352.103
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,4,12,4,find_qtl,62836.121
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,4,12,4,constructX,23912.06
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,4,12,4,calc_extBIC,1836.002
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,4,12,4,calcVC,1049.462
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,3,12,4,find_qtl,63630.947
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,3,12,4,constructX,23963.096
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,3,12,4,calc_extBIC,1818.866
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,3,12,4,calcVC,1070.032
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,2,12,4,find_qtl,62905.478
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,2,12,4,constructX,24382.246
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,2,12,4,calc_extBIC,1907.612
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,2,12,4,calcVC,1210.593
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,1,12,4,invMMt,187.337
