profile,run_id,itnum,ncpu,ngpu,function,time_ms
profile,12676515,4,14,2,find_qtl,30855.785
profile,12676515,4,14,2,constructX,4721.71
profile,12676515,4,14,2,calc_extBIC,1843.739
profile,12676515,4,14,2,calcVC,1078.375
profile,12676515,3,14,2,find_qtl,30180.086
profile,12676515,3,14,2,constructX,4700.754
profile,12676515,3,14,2,calc_extBIC,1819.115
profile,12676515,3,14,2,calcVC,1104.998
profile,12676515,2,14,2,find_qtl,30801.753
profile,12676515,2,14,2,constructX,4709.502
profile,12676515,2,14,2,calc_extBIC,1942.877
profile,12676515,2,14,2,calcVC,1251.117
profile,12676515,1,14,2,invMMt,179.855
profile,12676515,1,14,2,find_qtl,30718.748
profile,12676515,1,14,2,constructX,0.083
profile,12676515,1,14,2,calc_extBIC,1967.561
profile,12676515,1,14,2,calcVC,1478.92
profile,12676515,1,14,2,calcMMt,9404.987
profile,12676514,4,12,2,find_qtl,29498.12
profile,12676514,4,12,2,constructX,4657.412
profile,12676514,4,12,2,calc_extBIC,1786.372
profile,12676514,4,12,2,calcVC,998.628
profile,12676514,3,12,2,find_qtl,29632.02
profile,12676514,3,12,2,constructX,4632.692
profile,12676514,3,12,2,calc_extBIC,1761.869
profile,12676514,3,12,2,calcVC,1003.366
profile,12676514,2,12,2,find_qtl,29870.429
profile,12676514,2,12,2,constructX,4637.182
profile,12676514,2,12,2,calc_extBIC,1855.604
profile,12676514,2,12,2,calcVC,1168.31
profile,12676514,1,12,2,invMMt,231.51
profile,12676514,1,12,2,find_qtl,29813.941
profile,12676514,1,12,2,constructX,0.09
profile,12676514,1,12,2,calc_extBIC,1912.981
profile,12676514,1,12,2,calcVC,1568.42
profile,12676514,1,12,2,calcMMt,9490.408
profile,12676513,4,10,2,find_qtl,29984.456
profile,12676513,4,10,2,constructX,4628.043
profile,12676513,4,10,2,calc_extBIC,1782.658
profile,12676513,4,10,2,calcVC,1003.454
profile,12676513,3,10,2,find_qtl,29908.978
profile,12676513,3,10,2,constructX,4633.197
profile,12676513,3,10,2,calc_extBIC,1772.102
profile,12676513,3,10,2,calcVC,998.749
profile,12676513,2,10,2,find_qtl,29473.192
profile,12676513,2,10,2,constructX,4629.621
profile,12676513,2,10,2,calc_extBIC,1847.033
profile,12676513,2,10,2,calcVC,1160.437
profile,12676513,1,10,2,invMMt,183.298
profile,12676513,1,10,2,find_qtl,29036.459
profile,12676513,1,10,2,constructX,0.095
profile,12676513,1,10,2,calc_extBIC,1793.108
profile,12676513,1,10,2,calcVC,1392.231
profile,12676513,1,10,2,calcMMt,9229.793
profile,12676512,4,8,2,find_qtl,32144.881
profile,12676512,4,8,2,constructX,4914.466
profile,12676512,4,8,2,calc_extBIC,1931.454
profile,12676512,4,8,2,calcVC,1209.438
profile,12676512,3,8,2,find_qtl,31996.13
profile,12676512,3,8,2,constructX,4939.052
profile,12676512,3,8,2,calc_extBIC,1888.033
profile,12676512,3,8,2,calcVC,1191.402
profile,12676512,2,8,2,find_qtl,31466.327
profile,12676512,2,8,2,constructX,4923.528
profile,12676512,2,8,2,calc_extBIC,1942.851
profile,12676512,2,8,2,calcVC,1359.389
profile,12676512,1,8,2,invMMt,250.591
profile,12676512,1,8,2,find_qtl,32144.025
profile,12676512,1,8,2,constructX,0.184
profile,12676512,1,8,2,calc_extBIC,2012.908
profile,12676512,1,8,2,calcVC,1619.727
profile,12676512,1,8,2,calcMMt,10243.694
profile,12676511,4,4,2,find_qtl,30412.094
profile,12676511,4,4,2,constructX,4750.188
profile,12676511,4,4,2,calc_extBIC,1937.94
profile,12676511,4,4,2,calcVC,1076.458
profile,12676511,3,4,2,find_qtl,30663.088
profile,12676511,3,4,2,constructX,4749.985
profile,12676511,3,4,2,calc_extBIC,1916.938
profile,12676511,3,4,2,calcVC,1084.219
profile,12676511,2,4,2,find_qtl,30504.685
profile,12676511,2,4,2,constructX,4761.243
profile,12676511,2,4,2,calc_extBIC,2020.781
profile,12676511,2,4,2,calcVC,1234.455
profile,12676511,1,4,2,invMMt,202.258
profile,12676511,1,4,2,find_qtl,30618.161
profile,12676511,1,4,2,constructX,0.077
profile,12676511,1,4,2,calc_extBIC,1981.031
profile,12676511,1,4,2,calcVC,1468.286
profile,12676511,1,4,2,calcMMt,9430.784
profile,12676510,4,2,2,find_qtl,29885.765
profile,12676510,4,2,2,constructX,4538.263
profile,12676510,4,2,2,calc_extBIC,2272.268
profile,12676510,4,2,2,calcVC,1258.746
profile,12676510,3,2,2,find_qtl,30206.054
profile,12676510,3,2,2,constructX,4537.389
profile,12676510,3,2,2,calc_extBIC,2280.72
profile,12676510,3,2,2,calcVC,1244.18
profile,12676510,2,2,2,find_qtl,30298.482
profile,12676510,2,2,2,constructX,4539.99
profile,12676510,2,2,2,calc_extBIC,2348.033
profile,12676510,2,2,2,calcVC,1392.42
profile,12676510,1,2,2,invMMt,236.596
profile,12676510,1,2,2,find_qtl,30577.726
profile,12676510,1,2,2,constructX,0.071
profile,12676510,1,2,2,calc_extBIC,2295.218
profile,12676510,1,2,2,calcVC,1593.503
profile,12676510,1,2,2,calcMMt,8918.161
profile,12676509,4,1,2,find_qtl,33261.607
profile,12676509,4,1,2,constructX,4685.155
profile,12676509,4,1,2,calc_extBIC,3215.351
profile,12676509,4,1,2,calcVC,1769.509
profile,12676509,3,1,2,find_qtl,32981.526
profile,12676509,3,1,2,constructX,4703.144
profile,12676509,3,1,2,calc_extBIC,3163.907
profile,12676509,3,1,2,calcVC,1766.855
profile,12676509,2,1,2,find_qtl,33097.191
profile,12676509,2,1,2,constructX,4706.927
profile,12676509,2,1,2,calc_extBIC,3268.745
profile,12676509,2,1,2,calcVC,1932.509
profile,12676509,1,1,2,invMMt,328.579
profile,12676509,1,1,2,find_qtl,34081.314
profile,12676509,1,1,2,constructX,0.076
profile,12676509,1,1,2,calc_extBIC,3279.677
profile,12676509,1,1,2,calcVC,2133.179
profile,12676509,1,1,2,calcMMt,9408.873
profile,12676506,4,14,2,find_qtl,28905.277
profile,12676506,4,14,2,constructX,4631.091
profile,12676506,4,14,2,calc_extBIC,1752.119
profile,12676506,4,14,2,calcVC,986.372
profile,12676506,3,14,2,find_qtl,28844.044
profile,12676506,3,14,2,constructX,4629.906
profile,12676506,3,14,2,calc_extBIC,1741.172
profile,12676506,3,14,2,calcVC,995.731
profile,12676506,2,14,2,find_qtl,29394.81
profile,12676506,2,14,2,constructX,4639.106
profile,12676506,2,14,2,calc_extBIC,1833.568
profile,12676506,2,14,2,calcVC,1166.048
