profile,run_id,itnum,ncpu,ngpu,function,time_ms
profile,12441878,4,14,1,find_qtl,33019.006
profile,12441878,4,14,1,constructX,4950.007
profile,12441878,4,14,1,calc_extBIC,1993.487
profile,12441878,4,14,1,calcVC,1202.018
profile,12441878,3,14,1,find_qtl,33022.36
profile,12441878,3,14,1,constructX,4951.668
profile,12441878,3,14,1,calc_extBIC,1882.783
profile,12441878,3,14,1,calcVC,1221.36
profile,12441878,2,14,1,find_qtl,33310.767
profile,12441878,2,14,1,constructX,4873.75
profile,12441878,2,14,1,calc_extBIC,2034.056
profile,12441878,2,14,1,calcVC,1340.189
profile,12441878,1,14,1,invMMt,235.828
profile,12441878,1,14,1,find_qtl,33533.032
profile,12441878,1,14,1,constructX,0.102
profile,12441878,1,14,1,calc_extBIC,1988.382
profile,12441878,1,14,1,calcVC,1613.853
profile,12441878,1,14,1,MMt,9606.999
profile,12441877,4,12,1,find_qtl,32268.731
profile,12441877,4,12,1,constructX,4938.597
profile,12441877,4,12,1,calc_extBIC,1860.854
profile,12441877,4,12,1,calcVC,1042.323
profile,12441877,3,12,1,find_qtl,32697.507
profile,12441877,3,12,1,constructX,4930.972
profile,12441877,3,12,1,calc_extBIC,1834.716
profile,12441877,3,12,1,calcVC,1099.317
profile,12441877,2,12,1,find_qtl,32623.459
profile,12441877,2,12,1,constructX,5155.043
profile,12441877,2,12,1,calc_extBIC,1956.487
profile,12441877,2,12,1,calcVC,1216.103
profile,12441877,1,12,1,invMMt,180.656
profile,12441877,1,12,1,find_qtl,32530.765
profile,12441877,1,12,1,constructX,0.094
profile,12441877,1,12,1,calc_extBIC,1933.147
profile,12441877,1,12,1,calcVC,1453.67
profile,12441877,1,12,1,MMt,9459.991
profile,12441876,4,10,1,find_qtl,25451.611
profile,12441876,4,10,1,constructX,3123.811
profile,12441876,4,10,1,calc_extBIC,1759.557
profile,12441876,4,10,1,calcVC,981.425
profile,12441876,3,10,1,find_qtl,25727.188
profile,12441876,3,10,1,constructX,3121.43
profile,12441876,3,10,1,calc_extBIC,1751.919
profile,12441876,3,10,1,calcVC,974.425
profile,12441876,2,10,1,find_qtl,25758.548
profile,12441876,2,10,1,constructX,3123.413
profile,12441876,2,10,1,calc_extBIC,1835.265
profile,12441876,2,10,1,calcVC,1165.18
profile,12441876,1,10,1,invMMt,185.074
profile,12441876,1,10,1,find_qtl,26458.225
profile,12441876,1,10,1,constructX,0.084
profile,12441876,1,10,1,calc_extBIC,1799.043
profile,12441876,1,10,1,calcVC,1373.055
profile,12441876,1,10,1,MMt,7463.645
profile,12441875,4,8,1,find_qtl,30822.033
profile,12441875,4,8,1,constructX,4695.746
profile,12441875,4,8,1,calc_extBIC,1884.504
profile,12441875,4,8,1,calcVC,1061.856
profile,12441875,3,8,1,find_qtl,31273.122
profile,12441875,3,8,1,constructX,4693.328
profile,12441875,3,8,1,calc_extBIC,1841.48
profile,12441875,3,8,1,calcVC,1089.254
profile,12441875,2,8,1,find_qtl,30622.173
profile,12441875,2,8,1,constructX,4696.232
profile,12441875,2,8,1,calc_extBIC,1988.645
profile,12441875,2,8,1,calcVC,1238.313
profile,12441875,1,8,1,invMMt,240.414
profile,12441875,1,8,1,find_qtl,31525.82
profile,12441875,1,8,1,constructX,0.088
profile,12441875,1,8,1,calc_extBIC,1979.315
profile,12441875,1,8,1,calcVC,1644.302
profile,12441875,1,8,1,MMt,9498.803
profile,12441874,4,4,1,find_qtl,30301.521
profile,12441874,4,4,1,constructX,4587.938
profile,12441874,4,4,1,calc_extBIC,1986.919
profile,12441874,4,4,1,calcVC,1122.432
profile,12441874,3,4,1,find_qtl,30330.956
profile,12441874,3,4,1,constructX,4589.499
profile,12441874,3,4,1,calc_extBIC,1953.633
profile,12441874,3,4,1,calcVC,1127.002
profile,12441874,2,4,1,find_qtl,29965.486
profile,12441874,2,4,1,constructX,4601.491
profile,12441874,2,4,1,calc_extBIC,2085.197
profile,12441874,2,4,1,calcVC,1289.012
profile,12441874,1,4,1,invMMt,208.092
profile,12441874,1,4,1,find_qtl,32905.584
profile,12441874,1,4,1,constructX,0.078
profile,12441874,1,4,1,calc_extBIC,2056.728
profile,12441874,1,4,1,calcVC,1501.9
profile,12441874,1,4,1,MMt,9170.859
profile,12441873,4,2,1,find_qtl,33308.108
profile,12441873,4,2,1,constructX,4558.227
profile,12441873,4,2,1,calc_extBIC,2347.59
profile,12441873,4,2,1,calcVC,1273.336
profile,12441873,3,2,1,find_qtl,33786.056
profile,12441873,3,2,1,constructX,4543.961
profile,12441873,3,2,1,calc_extBIC,2305.014
profile,12441873,3,2,1,calcVC,1282.311
profile,12441873,2,2,1,find_qtl,32954.354
profile,12441873,2,2,1,constructX,4544.381
profile,12441873,2,2,1,calc_extBIC,2386.243
profile,12441873,2,2,1,calcVC,1427.436
profile,12441873,1,2,1,invMMt,250.067
profile,12441873,1,2,1,find_qtl,32817.107
profile,12441873,1,2,1,constructX,0.079
profile,12441873,1,2,1,calc_extBIC,2353.593
profile,12441873,1,2,1,calcVC,1685.502
profile,12441873,1,2,1,MMt,8981.986
profile,12441872,4,1,1,find_qtl,32986.373
profile,12441872,4,1,1,constructX,4588.315
profile,12441872,4,1,1,calc_extBIC,3095.763
profile,12441872,4,1,1,calcVC,1649.492
profile,12441872,3,1,1,find_qtl,32715.249
profile,12441872,3,1,1,constructX,4602.234
profile,12441872,3,1,1,calc_extBIC,3083.126
profile,12441872,3,1,1,calcVC,1688
profile,12441872,2,1,1,find_qtl,33311.387
profile,12441872,2,1,1,constructX,4619.291
profile,12441872,2,1,1,calc_extBIC,3164.172
